Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais François P.L.Q./Q.L.P.;Germain Élisabeth Q.S.;Julien Jonatan C.A.Q.-É.F.L.;Morin Annie P.Q.;Pelletier Daniel É.A.;Tremblay Valérie P.C.Q./C.P.Q.;B.V.;B.R.
748;Charlesbourg;2018-10-01;G;Québec, v;100;;134;324;29;21;90;27;4;11;182;2
748;Charlesbourg;2018-10-01;G;Québec, v;100;;135;325;24;19;97;16;2;8;166;3
748;Charlesbourg;2018-10-01;G;Québec, v;143;;136;416;42;36;104;24;0;13;219;2
748;Charlesbourg;2018-10-01;G;Québec, v;143;;137;406;36;14;67;23;4;7;151;4
748;Charlesbourg;2018-10-01;G;Québec, v;143;;138;393;29;37;98;22;0;14;200;3
748;Charlesbourg;2018-10-01;G;Québec, v;143;;139;423;38;30;134;21;0;12;235;5
748;Charlesbourg;2018-10-01;G;Québec, v;143;;140;396;28;26;105;16;1;9;185;5
748;Charlesbourg;2018-10-01;G;Québec, v;143;;141;404;30;26;131;13;0;16;216;5
748;Charlesbourg;2018-10-01;G;Québec, v;143;;142;417;26;24;105;25;1;16;197;3
748;Charlesbourg;2018-10-01;G;Québec, v;143;;143;407;19;34;120;28;1;17;219;2
748;Charlesbourg;2018-10-01;G;Québec, v;143;;144;412;43;35;105;21;0;15;219;4
748;Charlesbourg;2018-10-01;G;Québec, v;143;;145;409;33;26;108;15;0;14;196;3
