Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Daniel P.C.Q./C.P.Q.;Bédard Jean P.M.L.Q.;Huot Alexandre P.Q.;Lamontagne Marie-Christine Q.S.;Lescarbeau Nicholas P.V.Q./G.P.Q.;Simard Jean-François Ind;Simard Jean-François C.A.Q.-É.F.L.;Trudel Marie France P.L.Q./Q.L.P.;B.V.;B.R.;
742;Montmorency;2018-10-01;G;Québec, v;136;;80;378;5;0;11;24;1;1;80;24;146;0;
742;Montmorency;2018-10-01;G;Québec, v;136;;81;388;8;0;18;25;4;0;98;45;198;2;
742;Montmorency;2018-10-01;G;Québec, v;136;;82;376;5;0;24;18;2;1;117;27;194;4;
742;Montmorency;2018-10-01;G;Québec, v;136;;83;405;8;0;21;18;5;116;0;35;203;3;
742;Montmorency;2018-10-01;G;Québec, v;136;;84;383;15;0;12;12;1;6;120;37;203;3;
742;Montmorency;2018-10-01;G;Québec, v;136;;85;367;11;0;17;20;4;2;100;39;193;4;
742;Montmorency;2018-10-01;G;Québec, v;136;;86;381;8;0;13;34;1;3;133;37;229;2;
742;Montmorency;2018-10-01;G;Québec, v;136;;87;379;10;0;12;25;2;3;137;27;216;0;
742;Montmorency;2018-10-01;G;Québec, v;136;;88;400;7;4;24;23;1;3;110;25;197;6;
742;Montmorency;2018-10-01;G;Québec, v;136;;89;386;5;0;15;16;1;1;135;32;205;5;
742;Montmorency;2018-10-01;G;Québec, v;136;;90;380;12;0;17;18;6;2;130;47;232;1;
742;Montmorency;2018-10-01;G;Québec, v;136;;91;381;11;0;12;32;2;1;137;44;239;0;
742;Montmorency;2018-10-01;G;Québec, v;137;;92;387;13;0;17;14;0;4;101;34;183;3;
742;Montmorency;2018-10-01;G;Québec, v;137;;93;389;10;0;25;29;2;1;102;32;201;2;
742;Montmorency;2018-10-01;G;Québec, v;137;;94;379;8;1;18;20;8;1;108;18;182;5;
742;Montmorency;2018-10-01;G;Québec, v;137;;95;381;11;0;24;20;2;2;115;23;197;5;
742;Montmorency;2018-10-01;G;Québec, v;137;;96;378;9;0;18;25;3;0;104;24;183;7;
742;Montmorency;2018-10-01;G;Québec, v;137;;97;395;13;0;7;16;5;3;109;19;172;0;
742;Montmorency;2018-10-01;G;Québec, v;137;;98;378;8;0;13;10;4;1;107;14;157;4;
742;Montmorency;2018-10-01;G;Québec, v;137;;99;385;13;1;24;17;2;1;104;28;190;6;
742;Montmorency;2018-10-01;G;Québec, v;137;;100;368;13;0;15;19;3;5;95;21;171;5;
742;Montmorency;2018-10-01;G;Québec, v;137;;101;394;10;0;14;17;2;1;120;31;195;3;
742;Montmorency;2018-10-01;G;Québec, v;137;;102;388;10;0;17;24;2;1;92;21;167;7;
742;Montmorency;2018-10-01;G;Québec, v;138;;103;382;6;0;20;21;3;3;107;22;182;2;
742;Montmorency;2018-10-01;G;Québec, v;138;;104;396;10;0;10;18;0;5;108;34;185;5;
742;Montmorency;2018-10-01;G;Québec, v;138;;105;378;11;0;20;27;1;3;110;39;211;2;
742;Montmorency;2018-10-01;G;Québec, v;138;;106;378;10;1;14;19;0;2;104;34;184;2;
742;Montmorency;2018-10-01;G;Québec, v;138;;107;387;6;0;14;21;5;1;74;37;158;9;
742;Montmorency;2018-10-01;G;Québec, v;138;;108;388;7;1;13;20;5;5;93;31;175;8;
742;Montmorency;2018-10-01;G;Québec, v;139;;109;373;7;0;17;16;1;3;94;28;166;5;
742;Montmorency;2018-10-01;G;Québec, v;139;;110;359;9;1;22;28;4;0;77;29;170;2;
742;Montmorency;2018-10-01;G;Québec, v;139;;111;368;9;1;15;21;1;1;100;35;183;6;
742;Montmorency;2018-10-01;G;Québec, v;139;;112;365;5;0;39;21;5;1;103;27;201;5;
742;Montmorency;2018-10-01;G;Québec, v;139;;113;365;8;0;11;26;0;1;124;36;206;6;
742;Montmorency;2018-10-01;G;Québec, v;139;;114;362;10;0;20;14;2;2;94;53;195;3;
742;Montmorency;2018-10-01;G;Québec, v;139;;115;379;3;1;26;29;4;1;134;30;228;1;
742;Montmorency;2018-10-01;G;Québec, v;139;;116;366;11;0;20;35;5;1;91;31;194;8;
742;Montmorency;2018-10-01;G;Québec, v;139;;117;378;2;0;29;19;2;3;85;47;187;8;
742;Montmorency;2018-10-01;G;Québec, v;140;;118;377;7;1;16;36;1;2;69;15;147;3;
742;Montmorency;2018-10-01;G;Québec, v;140;;119;367;6;0;27;34;4;2;75;23;171;5;
742;Montmorency;2018-10-01;G;Québec, v;140;;120;375;3;2;25;28;7;1;86;33;185;5;
742;Montmorency;2018-10-01;G;Québec, v;140;;121;382;5;0;27;35;4;2;101;38;212;4;
742;Montmorency;2018-10-01;G;Québec, v;140;;122;372;8;1;16;24;4;2;86;25;166;6;
742;Montmorency;2018-10-01;G;Québec, v;140;;123;364;10;0;24;19;7;0;104;28;192;4;
742;Montmorency;2018-10-01;G;Québec, v;140;;124;383;7;1;30;31;2;1;105;32;209;8;
742;Montmorency;2018-10-01;G;Québec, v;140;;125;375;9;0;21;27;1;3;92;31;184;3;
742;Montmorency;2018-10-01;G;Québec, v;140;;126;389;6;0;26;22;4;1;99;40;198;2;
742;Montmorency;2018-10-01;G;Québec, v;140;;127;382;11;1;27;27;3;1;89;29;188;5;
742;Montmorency;2018-10-01;G;Québec, v;141;;128;375;5;0;25;40;3;4;70;25;172;0;
742;Montmorency;2018-10-01;G;Québec, v;141;;129;383;10;0;23;35;4;0;63;38;173;5;
742;Montmorency;2018-10-01;G;Québec, v;141;;130;383;7;1;24;41;0;4;80;15;172;5;
742;Montmorency;2018-10-01;G;Québec, v;141;;131;380;7;1;19;38;2;4;78;30;179;0;
742;Montmorency;2018-10-01;G;Québec, v;141;;132;382;10;0;23;27;1;6;91;28;186;4;
742;Montmorency;2018-10-01;G;Québec, v;142;;133;312;5;1;15;24;1;3;63;8;120;0;
742;Montmorency;2018-10-01;G;Québec, v;142;;134;323;5;0;14;21;2;3;52;22;119;2;
742;Montmorency;2018-10-01;G;Québec, v;142;;135;299;6;0;7;15;1;0;54;9;92;6;
742;Montmorency;2018-10-01;G;Québec, v;142;;136;313;7;0;9;17;1;5;49;23;111;2;
