Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benoit Jeff P.C.Q./C.P.Q.;Chassé Marie-Chantal C.A.Q.-É.F.L.;Garcia-McDiarmid Sandrine Q.S.;Masucci-Lauzon Marie-Ève N.P.D.Q.;Moreau Pierre P.L.Q./Q.L.P.;Stevenson Stephanie P.V.Q./G.P.Q.;Thériault Jean-Philippe P.Q.;B.V.;B.R.
226;Châteauguay;2018-10-01;G;Châteauguay, v;13;;89;398;6;69;16;2;108;8;16;225;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;13;;90;408;4;74;26;0;110;1;18;233;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;13;;91;395;4;71;11;4;95;4;18;207;5
226;Châteauguay;2018-10-01;G;Châteauguay, v;13;;92;403;0;64;22;1;59;6;24;176;5
226;Châteauguay;2018-10-01;G;Châteauguay, v;13;;93;385;3;79;21;0;48;2;19;172;3
226;Châteauguay;2018-10-01;G;Kahnawake, r;1;Regr. BVDS-1;94A;205;0;0;0;0;0;0;0;0;0
226;Châteauguay;2018-10-01;G;Kahnawake, r;1;Regr. BVDS-1;94B;376;0;0;0;0;0;0;0;0;0
226;Châteauguay;2018-10-01;G;Kahnawake, r;1;Regr. BVDS-1;94C;305;0;0;0;0;0;0;0;0;0
226;Châteauguay;2018-10-01;G;Kahnawake, r;1;Regr. BVDS-1;94D;175;0;0;0;0;0;0;0;0;0
226;Châteauguay;2018-10-01;G;Kahnawake, r;1;Regr. BVDS-1;94E;319;0;0;0;0;0;0;0;0;0
226;Châteauguay;2018-10-01;G;Kahnawake, r;1;Regr. BVDS-1;94F;300;0;0;0;0;0;0;0;0;0
226;Châteauguay;2018-10-01;G;Kahnawake, r;1;Regr. BVDS-1;94G;294;0;0;0;0;0;0;0;0;0
226;Châteauguay;2018-10-01;G;Léry, v;1;;95;358;1;92;40;3;47;3;28;214;6
226;Châteauguay;2018-10-01;G;Léry, v;1;;96;377;1;102;43;2;60;4;45;257;6
226;Châteauguay;2018-10-01;G;Léry, v;1;;97;356;2;104;24;2;44;3;61;240;5
226;Châteauguay;2018-10-01;G;Léry, v;1;;98;376;2;77;37;4;71;3;26;220;2
226;Châteauguay;2018-10-01;G;Léry, v;1;;99;362;4;84;27;1;66;4;40;226;3
226;Châteauguay;2018-10-01;G;Mercier, v;1;;100;406;3;72;40;6;58;4;34;217;2
226;Châteauguay;2018-10-01;G;Mercier, v;1;;101;392;4;69;27;2;29;5;27;163;2
226;Châteauguay;2018-10-01;G;Mercier, v;1;;102;384;1;89;35;2;57;3;32;219;2
226;Châteauguay;2018-10-01;G;Mercier, v;1;;103;381;2;91;28;0;34;6;31;192;4
226;Châteauguay;2018-10-01;G;Mercier, v;1;;104;408;0;126;22;0;52;4;39;243;5
226;Châteauguay;2018-10-01;G;Mercier, v;1;;105;405;2;88;37;0;35;3;38;203;0
226;Châteauguay;2018-10-01;G;Mercier, v;1;;106;389;3;119;35;0;50;4;37;248;1
226;Châteauguay;2018-10-01;G;Mercier, v;1;;107;390;6;97;33;1;46;2;40;225;4
226;Châteauguay;2018-10-01;G;Mercier, v;1;;108;385;3;87;32;0;33;2;31;188;0
226;Châteauguay;2018-10-01;G;Mercier, v;1;;109;390;4;112;32;2;42;4;36;232;7
226;Châteauguay;2018-10-01;G;Mercier, v;1;;110;390;3;101;34;0;44;6;47;235;3
